x	y
1	18.81
2	13.2777
3	9.501561
4	6.89410377
5	5.0708412441
6	3.778816409577
7	2.85055969294521
8	2.17437312804584
9	1.67511089084367
10	1.30171576214436
11	1.01911036929596
12	0.802900584383506
13	0.635899031913059
14	0.505829933329526
15	0.403803345184083
16	0.323292613078894
17	0.259442634820968
18	0.208596929870304
19	0.167970486420752
20	0.135420556865324
21	0.109283907294203
22	0.0882596488976095
23	0.0713237133602192
24	0.0576655823837971
25	0.0466408814505681
26	0.0377354401955634
27	0.0305377553395924
28	0.0247176930450289
29	0.0200098825472472
30	0.0162006776189655
31	0.013117859435007
32	0.0106224649030884
33	0.0086022757783706
34	0.00696661407287633
35	0.00564217064216335
36	0.00456965469575778
37	0.00370109804795129
